"Description","Designation","TypeUnite","TypeProduit","Superficie","PrixUnitaire"
"Jerada-Figuig                 ","98151-MASSIRA ANOUAL                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",100,60
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",221,1500
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",339,2800
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",127,1505
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,470
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",85,5941.18
"Jerada-Figuig                 ","81152-OMAR IBN KHATTAB A MRIJA          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",112,610
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",184.4,2400
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",105.7,1300
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.7,1400
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",93.99,1400
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",161.4,2350
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",120,1000
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",156,500
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2200
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",114,1475
"Berkane                       ","25011-BOUGHRIBA                         ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",135,1598.07
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",143,500
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",164,2200
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",141,590
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,460
"Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",117,720.76
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",164,2310
"Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",506,400.79
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",92.16,1400
"Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",776,400
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",127,1837.5
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1929
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2100
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",109,1850
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",96,5989.58
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1210
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1850
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",125,1000
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1800
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,800
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",123,1450
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",125,1450
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",237,1562.5
"Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",504,720.76
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",126,1210
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2079
"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",149,342
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Agence Oujda                  ","98161-QADISSIA                          ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",165,5200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",145,1505
"Nador - Driouch               ","12111-ZUN 4-5 SELOUANE                  ","LOT EQUIPEMENT PUBLIC    ","LOTS POUR EQUIP A USAGE DE SANTE        ",1343,400
"Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,450
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",110,1000
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1155
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",169,2457
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,840
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",118,1155
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",154,2050
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",121,1450
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1885
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",156,500
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",110,1000
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",147,1155
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",95,930
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",137,1155
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",161.4,2550
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",93.99,1400
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,880
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",125,1450
"Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,445.5
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",176,2200
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",183.7,2450
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Jerada-Figuig                 ","99491-WAHA TR2 A FIGUIG                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,1000
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",118,5296.61
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",127,2297
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",94,5797.87
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",124,1800
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",153,2500
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",131,1837.5
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",250,2450
"Nador - Driouch               ","LOT FATH EXTENSION SELOUANE             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",95,4500
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",110,1000
"Agence Oujda                  ","10211-WIFAK ls à 140000 HT              ","CONSTRUCTION LOGEMENT    ","CONSTR FAIBLE COUT 140MILLE             ",53,522.75
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",189,2300
"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",128,600
"Berkane                       ","1043-BORJ LS TR1                        ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",70,4238.29
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",157,2310
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",131,1850
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,510
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",105,600
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,1663.2
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",164,2500
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1800
"Taourirt                      ","29121-ZAITOUNE 1-2 TR                   ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",122,437.21
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",163,1714
"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",115,1000
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",182,2772
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",141,1210
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",164,2079
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.95,1400
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,930
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",132,1210
"Agence Oujda                  ","98041-ANGAD OUJDA                       ","LOT EQUIPEMENT PUBLIC    ","LOTS POUR EQUIP A USAGE CULTUREL        ",941,500
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,830
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,950
"Taourirt                      ","2941-RACHAD                             ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95,700
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",153,1600
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",254.4,2450
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",168,2200
"Taourirt                      ","2991-ZAITOUNE MLG LWIDANE               ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",93,420
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",180,2400
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
"Jerada-Figuig                 ","98151-MASSIRA ANOUAL                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",100,60
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,460
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,1900
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",114,1929
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",115,1800
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",120,465
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",127,1505
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",152,2100
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",147,1155
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",109,1850
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950
"Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",141.5,4100
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",106.68,1400
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",200,3150
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1700
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",138.7,2000
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,460
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC HABITAT      ",246,1445.12
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",111.33,1400
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",184.4,2400
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",250,2450
"Agence Oujda                  ","12331-JORF LAKHDER EXT LS TR2           ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",65,4612.82
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
